Calls to fitness,Generation,Best Fitness,Best Individual,Word Percentage,local minimas
29700,98,6749.485889293083,"{'A': 'Y', 'B': 'Q', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'J', 'H': 'Z', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'X', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 0.9841269841269841, 'fitness': 6749.485889293083}",0.9841269841269841,1
29400,98,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,0
127400,300,2198.9144514451496,"{'A': 'P', 'B': 'K', 'C': 'I', 'D': 'R', 'E': 'N', 'F': 'T', 'G': 'H', 'H': 'Q', 'I': 'V', 'J': 'W', 'K': 'U', 'L': 'D', 'M': 'M', 'N': 'Y', 'O': 'J', 'P': 'F', 'Q': 'S', 'R': 'X', 'S': 'B', 'T': 'Z', 'U': 'G', 'V': 'E', 'W': 'L', 'X': 'C', 'Y': 'A', 'Z': 'O', 'word_percent': 0.2334267040149393, 'fitness': 2198.9144514451496}",0.2334267040149393,0
91600,243,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,0
110000,243,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,4
48900,163,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,0
33000,110,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,0
34800,116,6896.488416055854,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Z', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'K', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'Q', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 1.0, 'fitness': 6896.488416055854}",1.0,0
127400,300,2652.082000068034,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'D', 'F': 'O', 'G': 'H', 'H': 'J', 'I': 'F', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'P', 'N': 'T', 'O': 'Q', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'R', 'T': 'Z', 'U': 'C', 'V': 'U', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'K', 'word_percent': 0.3734827264239029, 'fitness': 2652.082000068034}",0.3734827264239029,0
75100,187,6822.491940800032,"{'A': 'Y', 'B': 'X', 'C': 'I', 'D': 'N', 'E': 'T', 'F': 'O', 'G': 'Q', 'H': 'J', 'I': 'C', 'J': 'E', 'K': 'B', 'L': 'L', 'M': 'D', 'N': 'U', 'O': 'Z', 'P': 'M', 'Q': 'S', 'R': 'V', 'S': 'P', 'T': 'K', 'U': 'R', 'V': 'H', 'W': 'W', 'X': 'G', 'Y': 'A', 'Z': 'F', 'word_percent': 0.9897292250233427, 'fitness': 6822.491940800032}",0.9897292250233427,1
